index,kernelsize_fl,stride_fl,filters_fl,filters_sl,kernelsize_sl,filters_restl,kernelsize_restl,val_acc,test_acc,params
1384,16,8,32,32,3,64,6,0.841025641,0.831843338,100142
1385,16,8,32,32,3,64,3,0.928205128,0.910600255,82222
1386,16,8,32,32,3,32,6,0.912820513,0.905917412,40654
1387,16,8,32,32,3,32,3,0.943589744,0.928054491,37838
1388,16,8,32,32,3,16,6,0.943589744,0.936994466,20126
1389,16,8,32,32,3,16,3,0.953846154,0.955725841,20254
1390,16,8,32,32,3,8,6,0.841025641,0.819497659,12166
1391,16,8,32,32,3,8,3,0.835897436,0.809280545,12614
1392,16,8,32,16,6,256,6,0.528205128,0.489144317,948510
1393,16,8,32,16,6,256,3,0.528205128,0.489144317,594206
1394,16,8,32,16,6,128,6,0.682051282,0.659855258,280478
1395,16,8,32,16,6,128,3,0.841025641,0.82801192,201630
1396,16,8,32,16,6,64,6,0.841025641,0.824180502,93918
1397,16,8,32,16,6,64,3,0.841025641,0.831417625,79070
1398,16,8,32,16,6,32,6,0.81025641,0.776926352,37502
1399,16,8,32,16,6,32,3,0.902564103,0.851426139,36222
1400,16,8,32,16,6,16,6,0.912820513,0.899106003,18510
1401,16,8,32,16,6,16,3,0.902564103,0.88207748,19406
1402,16,8,32,16,6,8,6,0.897435897,0.858663261,11318
1403,16,8,32,16,6,8,3,0.866666667,0.819071946,12150
1404,16,8,32,16,3,256,6,0.682051282,0.656875266,946974
1405,16,8,32,16,3,256,3,0.682051282,0.657300979,592670
1406,16,8,32,16,3,128,6,0.682051282,0.658152405,278942
1407,16,8,32,16,3,128,3,0.841025641,0.829289059,200094
1408,16,8,32,16,3,64,6,0.841025641,0.828437633,92382
1409,16,8,32,16,3,64,3,1,0.995317156,77534
1410,16,8,32,16,3,32,6,0.917948718,0.903363133,35966
1411,16,8,32,16,3,32,3,0.958974359,0.943380162,34686
1412,16,8,32,16,3,16,6,0.938461538,0.935717327,16974
1413,16,8,32,16,3,16,3,0.933333333,0.920817369,17870
1414,16,8,32,16,3,8,6,0.876923077,0.845466156,9782
1415,16,8,32,16,3,8,3,0.897435897,0.846317582,10614
1416,16,8,32,8,6,256,6,0.528205128,0.489144317,934646
1417,16,8,32,8,6,256,3,0.528205128,0.489144317,586486
1418,16,8,32,8,6,128,6,0.682051282,0.653043848,272758
1419,16,8,32,8,6,128,3,0.682051282,0.659003831,196982
1420,16,8,32,8,6,64,6,0.841025641,0.826309068,89270
1421,16,8,32,8,6,64,3,0.979487179,0.969774372,75958
1422,16,8,32,8,6,32,6,0.820512821,0.794806301,34390
1423,16,8,32,8,6,32,3,0.897435897,0.850149,33878
1424,16,8,32,8,6,16,6,0.928205128,0.911451682,16166
1425,16,8,32,8,6,16,3,0.794871795,0.761600681,17446
1426,16,8,32,8,6,8,6,0.779487179,0.763303533,9358
1427,16,8,32,8,6,8,3,0.758974359,0.696466582,10382
1428,16,8,32,8,3,256,6,0.682051282,0.658578118,933878
1429,16,8,32,8,3,256,3,0.682051282,0.656449553,585718
1430,16,8,32,8,3,128,6,0.682051282,0.657726692,271990
1431,16,8,32,8,3,128,3,0.841025641,0.829714772,196214
1432,16,8,32,8,3,64,6,0.851282051,0.835249042,88502
1433,16,8,32,8,3,64,3,1,0.995742869,75190
1434,16,8,32,8,3,32,6,0.958974359,0.922094508,33622
1435,16,8,32,8,3,32,3,0.964102564,0.951042997,33110
1436,16,8,32,8,3,16,6,0.969230769,0.948914432,15398
1437,16,8,32,8,3,16,3,0.938461538,0.919114517,16678
1438,16,8,32,8,3,8,6,0.887179487,0.841209025,8590
1439,16,8,32,8,3,8,3,0.764102564,0.724563644,9614
1440,16,8,16,256,6,256,6,0.528205128,0.489144317,1338750
1441,16,8,16,256,6,256,3,0.687179487,0.658578118,800126
1442,16,8,16,256,6,128,6,0.687179487,0.659429544,486398
1443,16,8,16,256,6,128,3,0.687179487,0.659429544,315390
1444,16,8,16,256,6,64,6,0.846153846,0.828863346,207678
1445,16,8,16,256,6,64,3,1,0.998297148,146750
1446,16,8,16,256,6,32,6,1,0.996594295,105182
1447,16,8,16,256,6,32,3,1,0.993188591,80862
1448,16,8,16,256,6,16,6,0.928205128,0.928905917,63150
1449,16,8,16,256,6,16,3,0.841025641,0.829289059,52526
1450,16,8,16,256,6,8,6,0.717948718,0.687100894,44438
1451,16,8,16,256,6,8,3,0.841025641,0.823329076,39510
1452,16,8,16,256,3,256,6,0.682051282,0.652192422,1326462
1453,16,8,16,256,3,256,3,0.687179487,0.659429544,787838
1454,16,8,16,256,3,128,6,0.687179487,0.659429544,474110
1455,16,8,16,256,3,128,3,0.687179487,0.658578118,303102
1456,16,8,16,256,3,64,6,0.846153846,0.829714772,195390
1457,16,8,16,256,3,64,3,0.846153846,0.82801192,134462
1458,16,8,16,256,3,32,6,1,0.997871435,92894
1459,16,8,16,256,3,32,3,1,0.995317156,68574
1460,16,8,16,256,3,16,6,0.984615385,0.969348659,50862
1461,16,8,16,256,3,16,3,0.938461538,0.932737335,40238
1462,16,8,16,256,3,8,6,0.882051282,0.877394636,32150
1463,16,8,16,256,3,8,3,0.738461538,0.709237974,27222
1464,16,8,16,128,6,256,6,0.687179487,0.658152405,1129214
1465,16,8,16,128,6,256,3,0.825641026,0.820349085,688894
1466,16,8,16,128,6,128,6,0.656410256,0.630481056,375166
1467,16,8,16,128,6,128,3,0.687179487,0.658578118,253310
1468,16,8,16,128,6,64,6,0.856410256,0.857386122,145598
1469,16,8,16,128,6,64,3,0.98974359,0.986377182,109246
1470,16,8,16,128,6,32,6,1,0.992337165,67678
1471,16,8,16,128,6,32,3,0.892307692,0.868880375,55646
1472,16,8,16,128,6,16,6,0.938461538,0.931460196,37934
1473,16,8,16,128,6,16,3,1,0.998722861,33454
1474,16,8,16,128,6,8,6,0.846153846,0.830140485,25366
1475,16,8,16,128,6,8,3,0.753846154,0.742869306,23510
1476,16,8,16,128,3,256,6,0.528205128,0.489144317,1123070
1477,16,8,16,128,3,256,3,0.615384615,0.586206897,682750
1478,16,8,16,128,3,128,6,0.846153846,0.82801192,369022
1479,16,8,16,128,3,128,3,0.687179487,0.658152405,247166
1480,16,8,16,128,3,64,6,0.753846154,0.734355045,139454
1481,16,8,16,128,3,64,3,0.98974359,0.982120051,103102
1482,16,8,16,128,3,32,6,1,0.991911452,61534
1483,16,8,16,128,3,32,3,0.933333333,0.905917412,49502
1484,16,8,16,128,3,16,6,0.866666667,0.840357599,31790
